spot,pred
463,5
464,3
465,5
466,3
467,0
468,1
469,1
470,5
471,0
472,0
473,4
474,0
475,5
476,3
477,2
478,3
479,3
480,1
481,3
482,1
483,3
484,1
485,5
486,2
487,6
488,3
489,5
490,5
491,3
492,5
493,5
494,3
495,3
496,0
497,1
498,6
499,0
500,5
501,4
502,0
503,0
504,5
505,5
506,5
507,5
508,5
509,6
510,3
511,0
512,5
513,6
514,3
515,5
516,6
517,6
518,6
519,0
520,0
521,3
522,0
523,3
524,0
525,0
526,3
527,0
528,4
529,5
530,0
531,3
532,0
533,3
534,2
535,6
536,6
537,2
538,6
539,1
540,1
541,1
542,6
543,1
544,0
545,4
546,3
547,3
548,3
549,5
550,6
551,3
552,3
553,6
554,4
555,0
556,1
557,1
558,0
559,6
560,6
561,5
562,3
563,0
564,3
565,3
566,6
567,4
568,6
569,1
570,2
571,5
572,0
573,3
574,5
575,1
576,3
577,6
578,4
579,0
580,3
581,0
582,3
583,3
584,1
585,3
586,0
587,2
588,3
589,6
590,3
591,6
592,0
593,4
594,0
595,4
596,3
597,0
598,5
599,6
600,3
601,3
602,0
603,5
604,3
605,6
606,1
607,3
608,6
609,5
610,2
611,0
612,5
613,6
614,2
615,3
616,0
617,3
618,4
619,5
620,3
621,4
622,6
623,1
624,3
625,3
626,3
627,0
628,1
629,0
630,0
631,0
632,6
633,4
634,3
635,1
636,2
637,3
638,3
639,5
640,4
641,0
642,3
643,4
644,3
645,0
646,2
647,0
648,2
649,5
650,5
651,3
652,0
653,0
654,5
655,3
656,3
657,4
658,0
659,5
660,3
661,0
662,3
663,5
664,3
665,4
666,5
667,6
668,3
669,1
670,3
671,6
672,3
673,0
674,3
675,3
676,1
677,5
678,6
679,1
680,1
681,6
682,0
683,1
684,3
685,5
686,3
687,0
688,1
689,6
690,3
691,6
692,3
693,5
694,5
695,5
696,6
697,3
698,3
699,0
700,1
701,6
702,3
703,5
704,6
705,6
706,5
707,1
708,2
709,1
710,6
711,1
712,5
713,0
714,4
715,3
716,5
717,4
718,6
719,3
720,5
721,5
722,4
723,6
724,5
725,4
726,1
727,3
728,2
729,1
730,6
731,3
732,5
733,6
734,3
735,6
736,3
737,6
738,6
739,3
740,3
741,0
742,3
743,3
744,2
745,3
746,3
747,6
748,4
749,0
750,5
751,3
752,3
753,6
754,3
755,0
756,6
757,0
758,4
759,0
760,5
761,0
762,4
763,6
764,3
765,4
766,0
767,3
768,6
769,2
770,4
771,6
772,5
773,3
774,0
775,6
776,0
777,0
778,5
779,0
780,1
781,6
782,5
783,1
784,5
785,3
786,2
787,5
788,3
789,1
790,0
791,3
792,3
793,6
794,6
795,3
796,3
797,2
798,0
799,1
800,3
801,6
802,6
803,5
804,3
805,0
806,3
807,5
808,3
809,4
810,3
811,0
812,0
813,5
814,4
815,3
816,0
817,0
818,5
819,5
820,1
821,2
822,5
823,5
824,3
825,1
826,6
827,3
828,3
829,5
830,2
831,0
832,0
833,6
834,4
835,5
836,0
837,3
838,2
839,0
840,4
841,0
842,0
843,5
844,1
845,2
846,6
847,5
848,6
849,5
850,6
851,1
852,2
853,1
854,4
855,0
856,6
857,5
858,5
859,3
860,3
861,3
862,2
863,6
864,3
865,3
866,3
867,4
868,6
869,4
870,2
871,6
872,2
873,0
874,5
875,0
876,3
877,3
878,6
879,3
880,1
881,3
882,6
883,3
884,3
885,2
886,4
887,1
888,5
889,3
890,3
891,3
892,3
893,3
894,5
895,3
896,1
897,0
898,3
899,0
900,4
901,3
902,6
903,3
904,3
905,3
906,3
907,3
908,5
909,3
910,3
911,0
912,1
913,0
914,5
915,4
916,5
917,0
918,5
919,2
920,3
921,3
922,3
923,0
924,1
925,6
926,1
927,0
928,3
929,1
930,1
931,1
932,1
933,3
934,4
935,0
936,3
937,2
938,3
939,2
940,3
941,6
942,1
943,6
944,5
945,5
946,4
947,6
948,6
949,3
950,3
951,6
952,1
953,4
954,5
955,5
956,0
957,1
958,3
959,1
960,5
961,3
962,5
963,1
964,6
965,6
966,1
967,0
968,6
969,3
970,2
971,3
972,5
973,3
974,0
975,6
976,5
977,3
978,6
979,2
980,2
981,1
982,6
983,0
984,5
985,6
986,1
987,3
988,3
989,0
990,3
991,3
992,3
993,3
994,0
995,5
996,0
997,1
998,3
999,5
1000,3
1001,3
1002,2
1003,0
1004,3
1005,0
1006,0
1007,2
1008,5
1009,4
1010,5
1011,3
1012,5
1013,1
1014,1
1015,5
1016,5
1017,3
1018,3
1019,3
1020,0
1021,2
1022,5
1023,4
1024,6
1025,3
1026,3
1027,6
1028,3
1029,0
1030,3
1031,6
1032,4
1033,0
1034,3
1035,0
1036,3
1037,6
1038,3
1039,1
1040,5
1041,3
1042,0
1043,3
1044,0
1045,6
1046,5
1047,0
1048,3
1049,3
1050,5
1051,0
1052,3
1053,0
1054,5
1055,3
1056,5
1057,1
1058,3
1059,5
1060,3
1061,0
1062,6
1063,4
1064,3
1065,0
1066,5
1067,3
1068,6
1069,1
1070,4
1071,0
1072,6
1073,0
1074,6
1075,3
1076,3
1077,6
1078,3
1079,1
1080,3
1081,1
1082,6
1083,5
1084,2
1085,3
1086,4
1087,0
1088,5
1089,3
1090,6
1091,4
1092,6
1093,5
1094,1
1095,2
1096,5
1097,0
1098,6
1099,1
1100,6
1101,2
1102,6
1103,3
1104,0
1105,3
1106,3
1107,3
1108,6
1109,3
1110,6
1111,0
1112,3
1113,1
1114,3
1115,3
1116,0
1117,1
1118,3
1119,1
1120,3
1121,6
1122,3
1123,3
1124,3
1125,2
1126,2
1127,3
1128,5
1129,5
1130,3
1131,0
1132,2
1133,3
1134,6
1135,3
1136,3
1137,3
1138,3
1139,3
1140,5
1141,4
1142,6
1143,0
1144,5
1145,4
1146,5
1147,5
1148,1
1149,0
1150,5
1151,2
1152,1
1153,1
1154,1
1155,4
1156,1
1157,5
1158,3
1159,2
1160,0
1161,4
1162,1
1163,1
1164,3
1165,0
1166,5
1167,2
1168,0
1169,5
1170,6
1171,3
1172,6
1173,3
1174,6
1175,3
1176,4
1177,5
1178,6
1179,4
1180,2
1181,0
1182,6
1183,3
1184,3
1185,0
1186,3
1187,1
1188,5
1189,3
1190,0
1191,3
1192,5
1193,6
1194,1
1195,6
1196,5
1197,3
1198,5
1199,4
1200,4
1201,6
1202,3
1203,3
1204,4
1205,1
1206,3
1207,1
1208,3
1209,6
1210,3
1211,1
1212,3
1213,6
1214,3
1215,0
1216,4
1217,0
1218,5
1219,5
1220,6
1221,5
1222,6
1223,3
1224,1
1225,1
1226,0
1227,6
1228,3
1229,3
1230,0
1231,5
1232,5
1233,5
1234,3
1235,6
1236,3
1237,3
1238,3
1239,1
1240,1
1241,6
1242,3
1243,0
1244,6
1245,0
1246,5
1247,3
1248,0
1249,3
1250,3
1251,0
1252,1
1253,5
1254,5
1255,1
1256,5
1257,5
1258,3
1259,1
1260,2
1261,6
1262,3
1263,6
1264,6
1265,0
1266,3
1267,1
1268,5
1269,2
1270,0
1271,3
1272,2
1273,3
1274,1
1275,2
1276,3
1277,5
1278,1
1279,6
1280,4
1281,6
1282,1
1283,0
1284,3
1285,3
1286,0
1287,5
1288,4
1289,6
1290,5
1291,3
1292,3
1293,0
1294,1
1295,2
1296,3
1297,6
1298,3
1299,3
1300,6
1301,3
1302,5
1303,0
1304,5
1305,6
1306,2
1307,0
1308,5
1309,1
1310,3
1311,3
1312,0
1313,1
1314,0
1315,3
1316,3
1317,0
1318,3
1319,5
1320,1
1321,3
1322,6
1323,2
1324,4
1325,3
1326,1
1327,0
1328,1
1329,3
1330,5
1331,5
1332,0
1333,3
1334,5
1335,0
1336,0
1337,0
1338,4
1339,3
1340,0
1341,6
1342,5
1343,3
1344,3
1345,3
1346,3
1347,1
1348,3
1349,5
1350,0
1351,3
1352,3
1353,2
1354,4
1355,3
1356,6
1357,5
1358,3
1359,0
1360,5
1361,0
1362,0
1363,5
1364,3
1365,6
1366,5
1367,5
1368,6
1369,2
1370,1
1371,3
1372,5
1373,2
1374,5
1375,6
1376,6
1377,6
1378,6
1379,6
1380,0
1381,1
1382,3
1383,0
1384,0
1385,6
1386,5
1387,4
1388,3
1389,0
1390,3
1391,0
1392,3
1393,6
1394,3
1395,0
1396,3
1397,6
1398,1
1399,0
1400,3
1401,0
1402,5
1403,0
1404,0
1405,6
1406,1
1407,4
1408,4
1409,6
1410,3
1411,6
1412,6
1413,3
1414,3
1415,6
1416,5
1417,3
1418,3
1419,1
1420,2
1421,3
1422,3
1423,4
1424,1
1425,6
1426,5
1427,6
1428,0
1429,0
1430,1
1431,5
1432,4
1433,2
1434,6
1435,0
1436,3
1437,6
1438,0
1439,6
1440,3
1441,0
1442,6
1443,6
1444,5
1445,3
1446,5
1447,3
1448,5
1449,0
1450,3
1451,2
1452,2
1453,3
1454,3
1455,3
1456,6
1457,5
1458,5
1459,6
1460,1
1461,5
1462,0
1463,3
1464,3
1465,0
1466,3
1467,5
1468,3
1469,6
1470,6
1471,2
1472,3
1473,5
1474,2
1475,0
1476,0
1477,1
1478,0
1479,5
1480,1
1481,3
1482,5
1483,2
1484,1
1485,1
1486,5
1487,1
1488,6
1489,3
1490,3
1491,3
1492,6
1493,4
1494,5
1495,1
1496,3
1497,5
1498,0
1499,6
1500,6
1501,3
1502,3
1503,5
1504,0
1505,2
1506,0
1507,6
1508,6
1509,3
1510,5
1511,3
1512,5
1513,0
1514,6
1515,3
1516,3
1517,1
1518,4
1519,6
1520,0
1521,2
1522,3
1523,3
1524,3
1525,3
1526,2
1527,2
1528,0
1529,0
1530,3
1531,6
1532,4
1533,2
1534,5
1535,6
1536,1
1537,6
1538,5
1539,5
1540,2
1541,5
1542,3
1543,2
1544,5
1545,0
1546,3
1547,5
1548,6
1549,0
1550,3
1551,3
1552,3
1553,3
1554,1
1555,5
1556,0
1557,1
1558,1
1559,1
1560,0
1561,6
1562,1
1563,1
1564,5
1565,3
1566,3
1567,1
1568,6
1569,3
1570,0
1571,1
1572,3
1573,1
1574,3
1575,5
1576,0
1577,4
1578,0
1579,5
1580,3
1581,6
1582,3
1583,6
1584,6
1585,6
1586,1
1587,5
1588,1
1589,0
1590,3
1591,0
1592,5
1593,0
1594,3
1595,4
1596,3
1597,0
1598,6
1599,0
1600,2
1601,5
1602,6
1603,2
1604,0
1605,3
1606,6
1607,5
1608,3
1609,3
1610,6
1611,0
1612,1
1613,6
1614,6
1615,0
1616,5
1617,6
1618,4
1619,3
1620,0
1621,6
1622,1
1623,4
1624,3
1625,3
1626,0
1627,1
1628,3
1629,0
1630,5
1631,2
1632,5
1633,0
1634,6
1635,3
1636,1
1637,0
1638,4
1639,0
1640,4
1641,5
1642,3
1643,1
1644,3
1645,6
1646,1
1647,6
1648,3
1649,4
1650,1
1651,0
1652,3
1653,6
1654,5
1655,3
1656,6
1657,5
1658,6
1659,5
1660,3
1661,0
1662,0
1663,3
1664,6
1665,6
1666,3
1667,6
1668,3
1669,6
1670,6
1671,2
1672,6
1673,5
1674,0
1675,4
1676,3
1677,6
1678,5
1679,6
1680,3
1681,3
1682,3
1683,0
1684,5
1685,5
1686,2
1687,0
1688,6
1689,4
1690,1
1691,1
1692,0
1693,2
1694,2
1695,1
1696,0
1697,1
1698,6
1699,3
1700,5
1701,0
1702,6
1703,1
1704,0
1705,5
1706,3
1707,0
1708,0
1709,0
1710,3
1711,2
1712,6
1713,6
1714,3
1715,6
1716,6
1717,1
1718,0
1719,3
1720,6
1721,1
1722,3
1723,3
1724,0
1725,6
1726,5
1727,0
1728,3
1729,3
1730,2
1731,2
1732,4
1733,1
1734,2
1735,5
1736,3
1737,6
1738,3
1739,5
1740,6
1741,3
1742,0
1743,3
1744,6
1745,4
1746,3
1747,3
1748,0
1749,5
1750,5
1751,5
1752,0
1753,0
1754,0
1755,3
1756,5
1757,3
1758,1
1759,4
1760,1
1761,6
1762,5
1763,1
1764,6
1765,1
1766,5
1767,0
1768,5
1769,3
1770,3
1771,2
1772,0
1773,1
1774,5
1775,6
1776,0
1777,0
1778,3
1779,4
1780,2
1781,6
1782,4
1783,6
1784,5
1785,3
1786,0
1787,3
1788,5
1789,3
1790,5
1791,0
1792,3
1793,4
1794,0
1795,5
1796,1
1797,5
1798,0
1799,3
1800,6
1801,0
1802,3
1803,3
1804,6
1805,0
1806,0
1807,0
1808,3
1809,3
1810,1
1811,4
1812,6
1813,6
1814,6
1815,4
1816,6
1817,1
1818,1
1819,3
1820,5
1821,3
1822,5
1823,6
1824,5
1825,5
1826,6
1827,6
1828,1
1829,3
1830,4
1831,5
1832,0
1833,0
1834,5
1835,3
1836,0
1837,3
1838,0
1839,0
1840,3
1841,3
1842,3
1843,0
1844,5
1845,3
1846,3
1847,3
1848,5
1849,1
1850,4
1851,5
1852,1
1853,3
1854,3
1855,6
1856,4
1857,5
1858,6
1859,1
1860,6
1861,5
1862,5
1863,5
1864,2
1865,5
1866,4
1867,6
1868,1
1869,0
1870,3
1871,1
1872,1
1873,5
1874,6
1875,6
1876,0
1877,5
1878,6
1879,1
1880,6
1881,5
1882,6
1883,3
1884,6
1885,4
1886,2
1887,0
1888,3
1889,5
1890,2
1891,1
1892,6
1893,3
1894,5
1895,3
1896,5
1897,5
1898,6
1899,0
1900,4
1901,3
1902,5
1903,5
1904,2
1905,6
1906,0
1907,3
1908,0
1909,3
1910,5
1911,5
1912,5
1913,5
1914,0
1915,3
1916,5
1917,1
1918,0
1919,3
1920,2
1921,5
1922,0
1923,3
1924,3
1925,6
1926,5
1927,6
1928,3
1929,0
1930,0
1931,1
1932,6
1933,1
1934,1
1935,0
1936,3
1937,4
1938,3
1939,5
1940,5
1941,0
1942,3
1943,5
1944,3
1945,2
1946,0
1947,3
1948,1
1949,5
1950,5
1951,3
1952,0
1953,2
1954,5
1955,6
1956,6
1957,6
1958,0
1959,6
1960,5
1961,5
1962,6
1963,5
1964,0
1965,2
1966,2
1967,4
1968,1
1969,3
1970,3
1971,4
1972,0
1973,0
1974,5
1975,3
1976,4
1977,1
1978,1
1979,2
1980,0
1981,3
1982,5
1983,0
1984,1
1985,4
1986,0
1987,3
1988,5
1989,3
1990,1
1991,2
1992,6
1993,3
1994,6
1995,0
1996,0
1997,5
1998,0
1999,6
2000,3
2001,4
2002,5
2003,0
2004,0
2005,3
2006,5
2007,1
2008,0
2009,6
2010,6
2011,0
2012,1
2013,3
2014,5
2015,3
2016,3
2017,3
2018,3
2019,0
2020,6
2021,6
2022,6
2023,3
2024,0
2025,3
2026,5
2027,6
2028,3
2029,0
2030,0
2031,5
2032,3
2033,6
2034,6
2035,2
2036,6
2037,6
2038,6
2039,0
2040,1
2041,4
2042,1
2043,1
2044,3
2045,0
2046,6
2047,3
2048,6
2049,6
2050,3
2051,3
2052,0
2053,1
2054,3
2055,3
2056,6
2057,3
2058,3
2059,1
2060,6
2061,5
2062,3
2063,3
2064,6
2065,1
2066,0
2067,5
2068,5
2069,6
2070,0
2071,2
2072,0
2073,6
2074,6
2075,3
2076,3
2077,6
2078,2
2079,6
2080,1
2081,4
2082,0
2083,0
2084,2
2085,0
2086,3
2087,3
2088,4
2089,0
2090,0
2091,3
2092,3
2093,1
2094,5
2095,1
2096,3
2097,5
2098,6
2099,6
2100,2
2101,0
2102,5
2103,3
2104,5
2105,5
2106,6
2107,3
2108,3
2109,5
2110,3
2111,3
2112,3
2113,5
2114,3
2115,3
2116,6
2117,3
2118,0
2119,3
2120,3
2121,3
2122,3
2123,0
2124,3
2125,0
2126,2
2127,3
2128,1
2129,0
2130,0
2131,6
2132,0
2133,0
2134,3
2135,5
2136,0
2137,5
2138,6
2139,0
2140,6
2141,5
2142,1
2143,6
2144,1
2145,6
2146,6
2147,1
2148,0
2149,2
2150,4
2151,3
2152,4
2153,3
2154,2
2155,4
2156,3
2157,5
2158,3
2159,2
2160,0
2161,3
2162,5
2163,4
2164,6
2165,3
2166,0
2167,0
2168,1
2169,3
2170,3
2171,6
2172,6
2173,3
2174,6
2175,0
2176,3
2177,4
2178,6
2179,3
2180,1
2181,6
2182,5
2183,2
2184,6
2185,0
2186,3
2187,4
2188,4
2189,0
2190,0
2191,5
2192,0
2193,6
2194,3
2195,0
2196,1
2197,3
2198,3
2199,0
2200,3
2201,1
2202,0
2203,4
2204,6
2205,6
2206,4
2207,1
2208,3
2209,3
2210,3
2211,4
2212,3
2213,5
2214,4
2215,3
2216,5
2217,6
2218,4
2219,3
2220,3
2221,3
2222,0
2223,0
2224,5
2225,6
2226,3
2227,4
2228,5
2229,3
2230,1
2231,0
2232,6
2233,3
2234,6
2235,3
2236,3
2237,0
2238,3
2239,3
2240,4
2241,5
2242,5
2243,5
2244,6
2245,0
2246,6
2247,6
2248,6
2249,6
2250,6
2251,2
2252,5
2253,6
2254,0
2255,0
2256,1
2257,4
2258,5
2259,5
2260,1
2261,5
2262,0
2263,3
2264,3
2265,4
2266,3
2267,0
2268,3
2269,0
2270,0
2271,3
2272,2
2273,3
2274,2
2275,5
2276,3
2277,6
2278,2
2279,0
2280,1
2281,0
2282,0
2283,4
2284,6
2285,6
2286,3
2287,5
2288,5
2289,3
2290,2
2291,5
2292,4
2293,1
2294,1
2295,3
2296,1
2297,5
2298,0
2299,0
2300,4
2301,6
2302,5
2303,5
2304,3
2305,3
2306,4
2307,4
2308,5
2309,0
2310,6
2311,6
2312,6
2313,6
2314,6
2315,3
2316,3
2317,5
2318,3
2319,1
2320,1
2321,5
2322,0
2323,5
2324,0
2325,6
2326,2
2327,5
2328,1
2329,6
2330,5
2331,6
2332,4
2333,6
2334,2
2335,5
2336,5
2337,6
2338,1
2339,1
2340,4
2341,5
2342,3
2343,0
2344,5
2345,0
2346,4
2347,3
2348,5
2349,5
2350,2
2351,1
2352,6
2353,1
2354,6
2355,0
2356,5
2357,4
2358,2
2359,0
2360,0
2361,6
2362,6
2363,3
2364,6
2365,1
2366,6
2367,0
2368,5
2369,0
2370,6
2371,6
2372,0
2373,0
2374,6
2375,5
2376,5
2377,5
2378,1
2379,5
2380,0
2381,6
2382,1
2383,5
2384,0
2385,3
2386,5
2387,0
2388,0
2389,4
2390,6
2391,6
2392,1
2393,1
2394,6
2395,4
2396,0
2397,6
2398,6
2399,3
2400,0
2401,3
2402,6
2403,2
2404,3
2405,3
2406,0
2407,3
2408,3
2409,3
2410,0
2411,3
2412,6
2413,5
2414,3
2415,6
2416,0
2417,6
2418,2
2419,6
2420,3
2421,6
2422,1
2423,3
2424,5
2425,2
2426,0
2427,0
2428,3
2429,0
2430,5
2431,6
2432,1
2433,0
2434,3
2435,5
2436,1
2437,1
2438,0
2439,3
2440,3
2441,6
2442,5
2443,6
2444,6
2445,2
2446,0
2447,5
2448,5
2449,3
2450,1
2451,3
2452,1
2453,4
2454,0
2455,5
2456,3
2457,5
2458,2
2459,3
2460,3
2461,0
2462,0
2463,1
2464,5
2465,3
2466,5
2467,4
2468,3
2469,0
2470,6
2471,5
2472,1
2473,5
2474,6
2475,1
2476,6
2477,5
2478,5
2479,3
2480,3
2481,2
2482,5
2483,3
2484,3
2485,2
2486,6
2487,2
2488,0
2489,6
2490,1
2491,6
2492,1
2493,0
2494,5
2495,3
2496,5
2497,5
2498,0
2499,5
2500,2
2501,1
2502,3
2503,3
2504,3
2505,0
2506,1
2507,0
2508,1
2509,6
2510,0
2511,1
2512,5
2513,3
2514,0
2515,1
2516,0
2517,1
2518,3
2519,5
2520,1
2521,3
2522,1
2523,3
2524,5
2525,3
2526,3
2527,6
2528,3
2529,5
2530,6
2531,3
2532,6
2533,0
2534,3
2535,6
2536,5
2537,4
2538,5
2539,5
2540,2
2541,4
2542,0
2543,3
2544,1
2545,0
2546,0
2547,6
2548,5
2549,3
2550,6
2551,6
2552,3
2553,2
2554,3
2555,6
2556,5
2557,3
2558,6
2559,3
2560,4
2561,6
2562,6
2563,0
2564,2
2565,4
2566,1
2567,0
2568,0
2569,3
2570,3
2571,4
2572,1
2573,3
2574,3
2575,3
2576,5
2577,5
2578,2
2579,5
2580,0
2581,0
2582,5
2583,5
2584,3
2585,6
2586,0
2587,3
2588,6
2589,4
2590,3
2591,0
2592,3
2593,6
2594,4
2595,6
2596,5
2597,0
2598,3
2599,0
2600,3
2601,1
2602,1
2603,1
2604,5
2605,5
2606,6
2607,2
2608,3
2609,6
2610,6
2611,3
2612,0
2613,0
2614,0
2615,0
2616,1
2617,5
2618,6
2619,5
2620,0
2621,3
2622,5
2623,3
2624,6
2625,5
2626,5
2627,0
2628,1
2629,5
2630,5
2631,1
2632,6
2633,5
2634,6
2635,3
2636,5
2637,3
2638,6
2639,6
2640,1
2641,1
2642,0
2643,3
2644,5
2645,3
2646,0
2647,3
2648,6
2649,2
2650,2
2651,3
2652,2
2653,5
2654,6
2655,3
2656,1
2657,3
2658,0
2659,0
2660,6
2661,3
2662,3
2663,3
2664,4
2665,1
2666,3
2667,6
2668,5
2669,5
2670,0
2671,2
2672,3
2673,5
2674,6
2675,6
2676,6
2677,3
2678,6
2679,2
2680,6
2681,5
2682,6
2683,6
2684,1
2685,5
2686,1
2687,6
2688,3
2689,6
2690,0
2691,0
2692,1
2693,2
2694,0
2695,5
2696,3
2697,1
2698,3
2699,1
2700,0
2701,3
2702,3
2703,0
2704,6
2705,0
2706,2
2707,3
2708,3
2709,4
2710,3
2711,3
2712,0
2713,3
2714,0
2715,0
2716,1
2717,5
2718,0
2719,3
2720,5
2721,0
2722,5
2723,3
2724,3
2725,5
2726,1
2727,0
2728,0
2729,3
2730,3
2731,5
2732,5
2733,0
2734,0
2735,5
2736,3
2737,3
2738,3
2739,3
2740,1
2741,3
2742,0
2743,3
2744,1
2745,6
2746,1
2747,5
2748,1
2749,4
2750,6
2751,6
2752,6
2753,6
2754,5
2755,0
2756,3
2757,0
2758,3
2759,4
2760,6
2761,6
2762,6
2763,6
2764,6
2765,3
2766,0
2767,0
2768,3
2769,0
2770,6
2771,0
2772,6
2773,6
2774,5
2775,6
2776,6
2777,0
2778,6
2779,3
2780,2
2781,0
2782,5
2783,4
2784,3
2785,0
2786,3
2787,6
2788,0
2789,0
2790,5
2791,4
2792,2
2793,0
2794,0
2795,0
2796,3
2797,5
2798,5
2799,4
2800,6
2801,3
2802,5
2803,4
2804,3
2805,3
2806,5
2807,5
2808,3
2809,0
2810,6
2811,3
2812,3
2813,5
2814,0
2815,3
2816,3
2817,0
2818,4
2819,3
2820,3
2821,1
2822,5
2823,5
2824,3
2825,5
2826,6
2827,6
2828,0
2829,0
2830,6
2831,5
2832,3
2833,4
2834,0
2835,0
2836,3
2837,4
2838,5
2839,3
2840,3
2841,5
2842,5
2843,5
2844,6
2845,6
2846,6
2847,0
2848,3
2849,0
2850,0
2851,6
2852,1
2853,0
2854,4
2855,1
2856,6
2857,3
2858,2
2859,1
2860,6
2861,1
2862,2
2863,3
2864,3
2865,3
2866,3
2867,3
2868,6
2869,3
2870,6
2871,3
2872,0
2873,3
2874,6
2875,5
2876,0
2877,0
2878,0
2879,0
2880,3
2881,2
2882,3
2883,1
2884,3
2885,3
2886,3
2887,0
2888,5
2889,4
2890,0
2891,0
2892,6
2893,3
2894,3
2895,5
2896,4
2897,6
2898,4
2899,0
2900,0
2901,3
2902,3
2903,3
2904,2
2905,4
2906,1
2907,5
2908,1
2909,5
2910,5
2911,6
2912,6
2913,6
2914,3
2915,0
2916,0
2917,3
2918,5
2919,0
2920,0
2921,4
2922,0
2923,6
2924,6
2925,5
2926,1
2927,0
2928,6
2929,4
2930,3
2931,2
2932,5
2933,5
2934,6
2935,0
2936,5
2937,6
2938,0
2939,1
2940,0
2941,6
2942,5
2943,6
2944,0
2945,5
2946,4
2947,3
2948,3
2949,2
2950,3
2951,6
2952,3
2953,0
2954,0
2955,5
2956,6
2957,3
2958,6
2959,4
2960,0
2961,6
2962,0
2963,4
2964,6
2965,3
2966,1
2967,1
2968,3
2969,1
2970,3
2971,6
2972,6
2973,0
2974,3
2975,3
2976,3
2977,5
2978,5
2979,4
2980,0
2981,0
2982,2
2983,3
2984,6
2985,3
2986,3
2987,3
2988,0
2989,3
2990,3
2991,3
2992,3
2993,6
2994,5
2995,6
2996,5
2997,5
